round,comp_time,comm_time,overhead,mse,f1,mode,clients
39,0.5323748588562012,5.9604644775390625e-06,0,1709.0689840877758,0.36524665662917366,Vanilla,20
40,0.5233581066131592,6.4373016357421875e-06,0,2157.983175838695,0.2552708707573036,Vanilla,20
41,0.5406167507171631,4.5299530029296875e-06,0,2132.9641041475184,0.4312330623306233,Vanilla,20
42,0.5454616546630859,5.245208740234375e-06,0,2423.2549833409926,0.53136,Vanilla,20
43,0.5254220962524414,5.4836273193359375e-06,0,2537.8081126493566,0.605398847437064,Vanilla,20
44,0.5243809223175049,4.76837158203125e-06,0,2238.374375287224,0.6748882157796048,Vanilla,20
45,0.5230848789215088,5.7220458984375e-06,0,2341.8550450942093,0.6525405088349586,Vanilla,20
46,0.5334076881408691,5.0067901611328125e-06,0,2453.1217041015625,0.5711843332297172,Vanilla,20
47,0.5312058925628662,6.198883056640625e-06,0,2779.295503504136,0.6243727061643323,Vanilla,20
48,0.5282590389251709,5.9604644775390625e-06,0,3275.4399701286766,0.6219639398003278,Vanilla,20
49,0.5205090045928955,5.7220458984375e-06,0,2825.878489774816,0.7578424128434205,Vanilla,20
0,0.5223188400268555,2.000079870223999,0.08000000000000004,0.5225265955223757,0.7200166574125486,BlockFL,20
1,0.5252506732940674,2.000182628631592,0.08000000000000004,0.4484735253979178,0.7249343106071083,BlockFL,20
2,0.5258800983428955,2.0000786781311035,0.08000000000000004,0.4065502461265115,0.7273731446323783,BlockFL,20
3,0.5164618492126465,2.0000808238983154,0.08000000000000004,0.3774230348713258,0.7296048548375974,BlockFL,20
4,0.5195980072021484,2.0001845359802246,0.08000000000000004,0.3534565603031832,0.7324525185796862,BlockFL,20
5,0.520944356918335,2.000082492828369,0.08000000000000004,0.33204135211075053,0.7351061636775923,BlockFL,20
6,0.5247981548309326,2.0000782012939453,0.08000000000000004,0.3122469616286895,0.7338010730499381,BlockFL,20
7,0.5196495056152344,2.0000784397125244,0.08000000000000004,0.2944582963691038,0.7339020363236104,BlockFL,20
8,0.5154924392700195,2.000087022781372,0.08000000000000004,0.2784425633795121,0.7336268574573472,BlockFL,20
9,0.5213704109191895,2.00007963180542,0.08000000000000004,0.2640312537550926,0.7346994911291431,BlockFL,20
10,0.5165534019470215,2.0000782012939453,0.08000000000000004,6.931538343429565,0.6781042247480163,BlockFL,20
11,0.5135893821716309,2.0000810623168945,0.08000000000000004,11.663950359120088,0.6969249173175709,BlockFL,20
12,0.5317368507385254,2.00007963180542,0.08000000000000004,30.884007566115436,0.6901577867402533,BlockFL,20
13,0.5201797485351562,2.0000803470611572,0.08000000000000004,45.814338459688074,0.6478893847391909,BlockFL,20
14,0.5465319156646729,2.0001869201660156,0.08000000000000004,59.32817201053395,0.6050965018094089,BlockFL,20
15,0.5259907245635986,2.0000789165496826,0.08000000000000004,85.79884473015281,0.6061017973115843,BlockFL,20
16,0.5310428142547607,2.0000977516174316,0.08000000000000004,106.29902446971221,0.621129189472895,BlockFL,20
17,0.5218677520751953,2.000079870223999,0.08000000000000004,131.39524437399473,0.6510022762317351,BlockFL,20
18,0.5250537395477295,2.0000803470611572,0.08000000000000004,181.59964438045725,0.8033521730656792,BlockFL,20
19,0.5255894660949707,2.000077247619629,0.08000000000000004,244.17488457174863,0.82134630151011,BlockFL,20
20,0.5343475341796875,2.000080108642578,0.08000000000000004,251.83850322050208,0.726694768848041,BlockFL,20
21,0.5202560424804688,2.0000786781311035,0.08000000000000004,326.21290857651655,0.576899320568252,BlockFL,20
22,0.5287477970123291,2.0000789165496826,0.08000000000000004,338.0051484949449,0.49554338048900154,BlockFL,20
23,0.5494887828826904,2.000080108642578,0.08000000000000004,426.23269743077896,0.4162296913951689,BlockFL,20
24,0.539726734161377,2.0001883506774902,0.08000000000000004,513.5730994729435,0.38854841533881984,BlockFL,20
25,0.5431249141693115,2.0000789165496826,0.08000000000000004,380.6916943718405,0.5225398350548482,BlockFL,20
26,0.5134372711181641,2.00008225440979,0.08000000000000004,666.9952984978171,0.6413434039744812,BlockFL,20
27,0.5389339923858643,2.000082015991211,0.08000000000000004,628.7682943905102,0.5678935972780699,BlockFL,20
28,0.5248513221740723,2.0000791549682617,0.08000000000000004,1040.549181769876,0.5032562683165093,BlockFL,20
29,0.5220324993133545,2.0000925064086914,0.08000000000000004,833.6815203498392,0.401108417041912,BlockFL,20
30,0.5055012702941895,2.0000789165496826,0.08000000000000004,747.7558270622702,0.4181989224322244,BlockFL,20
31,0.5297675132751465,2.0000932216644287,0.08000000000000004,863.8010415469898,0.5737224023467655,BlockFL,20
32,0.5064992904663086,2.0001919269561768,0.08000000000000004,806.8265542423023,0.6125234345706787,BlockFL,20
33,0.507946252822876,2.0000832080841064,0.08000000000000004,916.1885842715992,0.6205761316872428,BlockFL,20
34,0.5058655738830566,2.000386953353882,0.08000000000000004,860.1783483168658,0.6401886375359221,BlockFL,20
35,0.5067753791809082,2.000079870223999,0.08000000000000004,959.7039723115809,0.6598238334425275,BlockFL,20
36,0.5468752384185791,2.0000810623168945,0.08000000000000004,1415.0424302045037,0.6676306846938038,BlockFL,20
37,0.55092453956604,2.0000789165496826,0.08000000000000004,1734.8177992876838,0.5913296123556847,BlockFL,20
38,0.5185117721557617,2.0000786781311035,0.08000000000000004,2042.3180182961858,0.6541166129504834,BlockFL,20
39,0.5195426940917969,2.0000810623168945,0.08000000000000004,2276.0747931985293,0.5594624160025004,BlockFL,20
40,0.512505054473877,2.000089406967163,0.08000000000000004,2507.876163258272,0.5864419762543087,BlockFL,20
41,0.5471994876861572,2.000082015991211,0.08000000000000004,2530.138427734375,0.6143211360733338,BlockFL,20
42,0.5119638442993164,2.0000815391540527,0.08000000000000004,2726.9988798253676,0.5722704714640199,BlockFL,20
43,0.524059534072876,2.000087022781372,0.08000000000000004,2213.172388413373,0.6088006642010718,BlockFL,20
